nn;word;transcription;translate
2622;vain;[ve?n];тщеславный, самолюбивый
;vanity;[?v?n?ti];тщеславие
2623;subscribe;[s?b?skra?b];подписываться
;unsubscribe;[??ns?b?skra?b];отписаться
;subscriber;[s?b?skra?b?];подписчик
;subscription;[s?b?skr?p??n];подписка
2624;proclaim;[pr??kle?m];провозглашать
;proclamation;[?pr?kl??me???n];провозглашение, воззвание
2625;let smb down;[l?tsmbda?n];подвести
2626;bonfire;[?b?n?fa??];костер
2627;wad;[w?d];комок или пачка (денег)
2628;bring up;[br???p];поднять тему
2629;invert;[??nv??t];переворачивать, опрокидывать
2630;compartment;[k?m?p??tm?nt];отсек, отделение, купе
2631;officer;[??f?s?];служащий, должностное лицо
2632;clasp;[kl??sp];застёжка, застёгивать
2633;annoy;[??n??];раздражать, надоедать
;annoyance;[??n???ns];раздражение, досада
2634;intermediate;[??nt??mi?di?t];промежуточный
2635;kit;[k?t];комплект, набор
2636;stout;[sta?t];толстый, плотный, крепкий
2637;soap;[s??p];мыло
;soapy;[?s??pi];мыльный
2638;foliage;[?f??l???];листва
2639;fugitive;[?fju???t?v];беглец
2640;undo;[?n?du?];расстёгнуть, развязать, открыть
2641;skip;[sk?p];прыгать, перепрыгивать
2642;talk into;[t??k??ntu?];уговорить
;talk out;[t??ka?t];отговорить
2643;congratulate;[k?n?gr?tj?le?t];поздравлять
;congratulation;[k?n?gr?tj??le???n];поздравление
2644;faraway;[?f??r??we?];далёкий
2645;bow out;[ba?a?t];откланяться, уйти
2646;subtract;[s?b?tr?kt];вычитать
;subtraction;[s?b?tr?k??n];вычитание
2647;clap;[kl?p];хлопать в ладоши
2648;distress;[d?s?tr?s];несчастье, страдание
;distressed;[d?s?tr?st];бедствующий
2649;headlight;[?h?dla?t];передняя фара
2650;subvert;[s?b?v??t];подорвать
;subversion;[s?b?v????n];подрывная деятельность
2651;scant;[sk?nt];скудный
2652;thief (pl: thieves);[?i?f];вор
2653;yank;[j??k];дергать
2654;fond of;[f?nd?v];любящий
2655;flinch;[fl?n?];дёрнуться, дрогнуть
;unflinching;[??n?fl?n???];решительный, твёрдый
2656;bald;[b??ld];лысый, плешивый
;baldness;[?b??ldn?s];облысение
2657;fountain;[?fa?nt?n];фонтан
2658;vomit;[?v?m?t];рвота, страдать рвотой
2659;salesperson;[?se?lz?p??s?n];продавец (в магазине)
;salesman;[?se?lzm?n];продавец
;saleswoman;[?se?lz?w?m?n];продавщица
;salesgirl;[salesgirl];продавщица
;salespeople;[?se?lz?pi?pl];продавцы
2660;swap;[sw?p];менять, обмен
2661;dissolve;[d??z?lv];растворять, растворяться
2662;bluff;[bl?f];блеф
2663;petty;[?p?ti];мелкий, мелочный
;pettiness;[?p?tin?s];мелочность
2664;snail;[sne?l];улитка
2665;gutter;[?g?t?];желоб, сток
2666;slim;[sl?m];стройный
2667;berth;[b???];койка, место, полка в поезде
2668;prey;[pre?];добыча
2669;raisin;[?re?zn];изюм
2670;revel;[?r?vl];наслаждаться, развлекаться
2671;casualty;[?k??j??lti];жертва, потери
2672;cemetery;[?s?m?tri];кладбище
2673;bachelor;[?b???l?];бакалавр
2674;rude;[ru?d];грубый, неприличный
;rudeness;[?ru?dn?s];грубость
2675;hatch;[h??];люк
2676;dumb;[d?m];немой
;dumbness;[?d?mn?s];немота
2677;boulder;[?b??ld?];валун
2678;massacre;[?m?s?k?];резня
2679;akin;[??k?n];похожий
2680;grape;[gre?p];виноград (ягода)
2681;vine;[va?n];виноград (растение)
;vineyard;[?v?nj?d];виноградник
2682;frenzy;[?fr?nzi];неистовство, безумие
2683;rumble;[?r?mbl];грохот, рокот
2684;eat out;[i?ta?t];есть не дома
;eat in;[i?t?n];есть дома
2685;scar;[sk??];шрам
2686;rubble;[?r?bl];щебень, обломки
2687;jolly;[???li];веселый
2688;pervert;[?p??v??t];извращать, извращенец
;perverse;[p??v??s];извращенный
;perversion;[p??v????n];извращение
2689;dam;[d?m];плотина
2690;flush;[fl??];промывать, смывать
2691;assimilate;[??s?m?le?t];усваивать
;assimilation;[??s?m??le??(?)n];усвоение
2692;convene;[k?n?vi?n];созывать, собирать
2693;turn up;[t??n?p];сделать погромче
;turn down;[t??nda?n];сделать потише
2694;apart from;[??p??tfr?m];помимо
2695;spectacle;[?sp?kt?kl];зрелище
;spectacles;[?sp?kt?kls];(брит.) очки
;spectacular;[sp?k?t?kj?l?];зрелищный, эффектный
2696;ray;[re?];луч
2697;sock;[s?k];носок
;sox;[sox];носки
2698;backpack;[?b?k?p?k];рюкзак
;backpacker;[?b?k?p?k?];турист, путешественник
2699;shark;[???k];акула
2700;stealth;[st?l?];скрытность, хитрость
;stealthy;[?st?l?i];скрытый
;stealthily;[?st?l??li];украдкой
2701;gravel;[?gr?v?l];гравий
2702;broth;[br??];бульон, отвар
2703;clear up;[kl??r?p];прояснить(ся)
2704;lodge;[l??];домик, поселиться, остановиться
;lodging;[?l????];жилье
2705;puff;[p?f];дуновение, пых, клубы (дыма)
2706;redeem;[r??di?m];выкупить, искупить
2707;shrub;[?r?b];куст
2708;hail;[he?l];град
2709;drizzle;[?dr?zl];моросить, морось
;drizzly;[?dr?zli];моросящий
2710;caress;[k??r?s];ласкать, гладить
2711;dizzy;[?d?zi];головокружительный
;dizziness;[?d?z?n?s];головокружение
2712;filth;[f?l?];грязь, гадость
;filthy;[?f?l?i];грязный, гадкий
2713;buy up;[ba??p];скупить
2714;stoop;[stu?p];крыльцо со ступеньками (амер.)
2715;forge;[f???];ковать
2716;prescribe;[pr?s?kra?b];предписывать
;prescription;[pr?s?kr?p??n];предписание, рецепт
2717;attain;[??te?n];достигать
;attainment;[??te?nm?nt];достижение
;attainable;[??te?n?bl];достижимый
;unattainable;[??n??te?n?bl];недостижимый
2718;quarry;[?kw?ri];карьер
2719;look around;[l?k??ra?nd];посмотреть, оглядеть
;shop around;[??p??ra?nd];походить по магазинам
2720;hurl;[h??l];метать, бросать с силой
2721;resent;[r??z?nt];огорчаться, возмущаться
;resentment;[r??z?ntm?nt];чувство обиды
;resentful;[r??z?ntf?l];обиженный
2722;drop off;[dr?p?f];завезти, высадить
2723;wince;[w?ns];поморщиться, поёжиться
2724;node;[n??d];узел, вершина, центр
;nodal;[?n??dl];узловой
2725;rift;[r?ft];разрыв, трещина
2726;rejoice;[r?????s];радоваться
2727;polite;[p??la?t];вежливый
;politeness;[p??la?tn?s];вежливость
;impolite;[??mp??la?t];невежливый
2728;starve;[st??v];голодать
;starvation;[st???ve???n];голодание
2729;ash;[??];пепел, зола
2730;cellar;[?s?l?];подвал
2731;duplicate;[?dju?pl?k?t];дублировать, дубликат
;duplication;[?dju?pl??ke???n];дублирование
2732;stool;[stu?l];табурет
2733;misery;[?m?z?ri];нищета
2734;intrude on;[?n?tru?d?n];вторгаться, вмешиваться
;intrusion;[?n?tru???n];вторжение
;intruder;[?n?tru?d?];нарушитель
2735;martyr;[?m??t?];мученик
;martyrdom;[?m??t?d?m];мученичество
2736;pillow;[?p?l??];подушка
2737;flap;[fl?p];створка, клапан, хлопать
2738;flute;[flu?t];флейта
2739;scissors;[?s?z?z];ножницы
2740;hog;[h?g];большой свин, боров
2741;ward;[w??d];палата, отделение, камера
2742;order;[???d?];приказ
2743;cut across;[k?t??kr?s];пересечь, срезать путь
2744;interrogate;[?n?t?r??ge?t];допрашивать
;interrogation;[?n?t?r???ge???n];допрос
2745;foil;[f??l];расстраивать, разрушать
2746;soot;[s?t];сажа
;sooty;[?s?ti];закопченный
2747;snapshot;[?sn?p???t];снимок
2748;aggregate;[??gr?g?t];совокупный
;aggregation;[??gr??ge??(?)n];объединение, группировка
2749;loop;[lu?p];петля
2750;paw;[p??];лапа
2751;fit in with;[f?t?nw??];вписаться (в коллектив)
2752;hand in;[h?nd?n];сдать
;give in;[g?v?n];сдать
;get in;[g?t ?n];сдавать
;turn in;[t??n ?n];сдавать(cя)
2753;chord;[k??d];аккорд
2754;zoo;[zu?];зоопарк
2755;be after;[bi????ft?];иметь целью
2756;coincidence;[k????ns?d?ns];совпадение
2757;youngster;[?j??st?];юноша, ребёнок
2758;come to life;[k?mtu?la?f];оживать, приходить в себя
;bring to life;[br??tu?la?f];приводить в чувство
2759;serene;[s??ri?n];безмятежный, безоблачный
;serenity;[s??r?n?ti];безмятежность
2760;crib;[kr?b];раскладушка или дет. кроватка
2761;mammoth;[?m?m??];мамонт
2762;suitcase;[?sju?tke?s];чемодан
2763;pass up;[p??s?p];не воспользоваться шансом
2764;thug;[??g];бандит, головорез
2765;coffin;[?k?f?n];гроб
2766;dread;[dr?d];страх, бояться
;dreadful;[?dr?df?l];ужасный
2767;pity;[?p?ti];жалость
;pitiful;[?p?t?f?l];жалкий
;pitiless;[?p?t?l?s];безжалостный
2768;drown;[dra?n];тонуть
2769;break into (break in);[bre?k??ntu?];проникнуть, вломиться
;break-in;[bre?k-?n];взлом, ограбление
2770;census;[?s?ns?s];перепись
2771;balloon;[b??lu?n];воздушный шар
2772;exile;[??ksa?l];ссылка, изгнание
2773;meantime;[?mi?n?ta?m];тем временем
2774;numb;[n?m];онемелый, окоченевший
;numbness;[?n?mn?s];онемение
2775;fin;[f?n];плавник
2776;bout;[ba?t];всплеск, приступ
2777;trousers;[?tra?z?z];брюки
2778;resilient;[r??z?l??nt];стойкий, упругий
;resilience;[r??z?l??ns];упругость
2779;mess up;[m?s?p];испортить, накосячить
2780;receipt;[r??si?t];квитанция
2781;pile up;[pa?l?p];сложить, навалить
2782;detach;[d??t??];отделить, оторвать
;detachment;[d??t??m?nt];отделение, отслоение
2783;rabbit;[?r?b?t];кролик
2784;knob;[n?b];ручка (круглая)
2785;hectic;[?h?kt?k ];беспокойный
2786;irritate;[??r?te?t];раздражать
;irritation;[??r??te???n];раздражение
;irritant;[??r?t?nt];раздражитель
;irritable;[??r?t?bl];раздражительный
2787;inherent;[?n?h??r?nt];свойственный, присущий
2788;commodity;[k??m?d?ti];товар, сырьё
2789;whiz;[w?z];ловкач, умелец (в области)
2790;delicious;[d??l???s];восхитительный (о еде)
2791;invade;[?n?ve?d];вторгаться
;invasion;[?n?ve???n];вторжение
;invader;[?n?ve?d?];захватчик
;invasive;[?n?ve?s?v];агрессивный, захватнический
2792;whack;[w?k];удар, сильно бить
2793;harness;[?h??n?s];запрягать, обуздывать
2794;eyebrow;[?a?bra?];бровь
;brow;[bra?];бровь
2795;perennial;[p??r?ni?l];многолетний, вечный
2796;skim;[sk?m];скользить (легко)
2797;dope;[d??p];наркотик, дурман
2798;herd;[h??d];стадо, пасти
;herder;[?h??d?];пастух
2799;piss;[p?s];писать, моча
2800;kneel;[ni?l];стать на колени (колено)
2801;residue;[?r?z?dju?];остаток
;residual;[r??z?dj??l];остаточный
2802;queer;[kw??];странный, чудной
;queer;[kw??];педик
2803;blaze;[ble?z];полыхать, пламя
;ablaze;[??ble?z];пылать
2804;come through;[k?m?ru?];пережить, перенести
;go through;[g???ru?];пережить
;live through;[l?v?ru?];пережить
2805;worm;[w??m];червь
;wormy;[?w??mi];червивый
2806;vest;[v?st];жилет
2807;arc;[??k];дуга
2808;bathe;[be??];купаться, купать
2809;fetus;[?fi?t?s];плод, эмбрион
;fetal;[?fi?tl];эмбриональный
2810;flutter;[?fl?t?];трепетать, развеваться, порхать
2811;lousy;[?la?zi];паршивый
2812;haze;[he?z];дымка, туман
2813;dumb;[d?m];тупой
2814;temper;[?t?mp?];характер
2815;hump;[h?mp];горб
;humped;[h?mpt];горбатый
2816;contract;[?k?ntr?kt];сокращаться
;contraction;[k?n?tr?k??n];сокращение
2817;integral;[??nt?gr?l];составной, неотъемлемый
2818;volatile;[?v?l?ta?l];изменчивый, нестабильный
;volatility;[?v?l??t?l?ti];изменчивость
2819;conspicuous;[k?n?sp?kj??s];заметный
;inconspicuous;[??nk?n?sp?kj??s];незаметный
2820;whirl;[w??l];вихрь, кружиться
2821;stuffy;[?st?fi];душный
2822;refund;[?ri?f?nd];возврат, возмещение
2823;preside;[pr??za?d];председательствовать
2824;disperse;[d?s?p??s];рассеиваться
;dispersion;[d?s?p????n];рассеивание
2825;crane;[kre?n];подъёмный кран
2826;forcible;[?f??s?bl];насильственный
2827;decisive;[d??sa?s?v];решающий, решительный
;indecisive;[??nd??sa?s?v];нерешительный
2828;infinite;[??nf?n?t];бесконечный
;finite;[?fa?na?t];конечный
;infinity;[?n?f?n?ti];бесконечность
2829;wind up;[w?nd?p];заканчивать
;wrap up;[r?p?p];заканчивать
2830;mole;[m??l];крот
2831;hold back;[h??ldb?k];сдерживать
;keep back;[ki?pb?k];сдерживать
2832;take down;[te?kda?n];записать
;write down;[ra?tda?n];записывать
2833;shimmer;[???m?];мерцать, переливаться
2834;wash up;[w???p];умыться
2835;hang around;[h????ra?nd];зависать, слоняться
;hang about;[h????ba?t];болтаться
;hang out;[h??a?t];тусоваться
2836;skinny;[?sk?ni];тощий
2837;stomp;[st?mp];топать
2838;magician;[m??????n];волшебник, фокусник
2839;mushroom;[?m??r?m];гриб
2840;comprehend;[?k?mpr??h?nd];понять, вникнуть
;comprehension;[?k?mpr??h?n??n];понимание
;comprehensible;[?k?mpr??h?ns?bl];понятный
;incomprehensible;[?nk?mpr??h?ns?bl];непостижимый
2841;mistress;[?m?str?s];госпожа, хозяйка
2842;salient;[?se?li?nt];выступающий, заметный
;salience;[?se?lj?ns];выпуклость, выступ
2843;stellar;[?st?l?];звездный
;interstellar;[??nt?(?)?st?l?];межзвездный
2844;excel;[?k?s?l];преуспеть
2845;blossom;[?bl?s?m];цвести, цвет
2846;gulp;[g?lp];большой глоток, заглатывать
2847;ruler;[?ru?l?];линейка
2848;berry;[?b?ri];ягода
;blackberry;[?bl?kb?ri];ежевика
;blueberry;[?blu?b?ri];черника
2849;exclaim;[?ks?kle?m];восклицать
;exclamation;[??kskl??me???n];восклицание
;exclamation point;[??kskl??me???np??nt];восклицательный знак
;exclamation mark;[??kskl??me???nm??k];восклицательный знак
2850;ruffle;[?r?fl];рябить, взъерошить
2851;assassin;[??s?s?n];убийца
;assassinate;[??s?s?ne?t];убивать
;assassination;[??s?s??ne??(?)n];убийство
2852;jerk;[???k];дёргать, резкое движение
2853;saucer;[?s??s?];блюдце
2854;turnover;[?t??n???v?];оборот (экон.)
2855;provided;[pr??va?d?d];при условии
2856;disrupt;[d?s?r?pt];нарушить, сорвать
;disruption;[d?s?r?p??n];нарушение
2857;deviate;[?di?v?e?t];отклоняться
;deviant;[?di?v??nt];отклоняющееся
;deviation;[?di?v??e???n];отклонение
2858;solitary;[?s?l?t?ri];уединенный
2859;blunt;[bl?nt];тупой, притуплять
;bluntly;[?bl?ntli];тупо, прямо, резко
2860;compassion;[k?m?p???n];сочуствие, сострадание
;compassionate;[k?m?p???n?t];сострадательный
2861;cloak;[kl??k];плащ, мантия, покров
;cloakroom;[?kl??kr?m];раздевалка
2862;prone;[pr??n];склонный
;proneness;[?pr??n?s];склонность
2863;bribe;[bra?b];взятка
;bribery;[?bra?b?ri];взяточничество
2864;verify;[?v?r?fa?];проверить
;verification;[?v?r?f??ke???n];проверка
2865;repress;[r??pr?s];подавлять
2866;drop by;[dr?pba?];зайти (по пути)
;drop in;[dr?p?n];завезти, занести
2867;dummy;[?d?mi];манекен, чучело
2868;slum;[sl?m];трущобы
2869;knight;[na?t];рыцарь
;knighthood;[?na?th?d];рыцарство
2870;aloud;[??la?d];вслух
2871;underline;[??nd?la?n];подчеркивнуть
2872;cringe;[kr?n?];съёживаться
2873;locker;[?l?k?];ящик, шкаф
2874;stagger;[?st?g?];шататься, колебаться
;staggering;[?st?g?r??];ошеломляющий
2875;sob;[s?b];рыдать, всхлипывать
2876;idle;[?a?dl];праздный, бездействующий
;idleness;[?a?dln?s];праздность
;idling;[?a?dl??];на холостом ходу
2877;cedar;[?si?d?];кедр
2878;mow;[ma?];косить
;mower;[?m???];косилка
2879;subsist;[s?b?s?st];существовать, прокормиться
;subsistence;[s?b?s?st?ns];существование, пропитание
2880;dual;[?dju(?)?l];парный, двоякий
;duality;[dju(?)??l?ti];двойственность
2881;paperwork;[?pe?p??w??k];оформление бумаг
2882;counterfeit;[?ka?nt?f?t];подделка, фальшивый
;counterfeiter;[?ka?nt?f?t?];фальшивомонетчик
2883;eyelid;[?a?l?d];веко
2884;scout;[ska?t];разведчик
2885;lavish;[?l?v??];щедрый, роскошный
;lavishness;[?l?v??n?s];расточительность
2886;faction;[?f?k??n];группировка, фракция
;factional;[?f?k??n(?)l];групповой, фракционный
2887;stoop;[stu?p];наклоняться или сутулиться
;stoopy;[stoopy];сутулый
2888;flourish;[?fl?r??];процветать
2889;peg;[p?g];колышек, фиксатор
2890;keen;[ki?n];острый (часто перен.)
2891;lounge;[la?n?];гостиная, холл, комната отдыха
;lounge car;[la?n?k??];вагон-ресторан
2892;rustle;[?r?sl];шелест
2893;slick;[sl?k];скользкий
2894;feast;[fi?st];праздник, пир
;festive;[?f?st?v];праздничный
;festivity;[f?s?t?v?ti];торжества
2895;patio;[?p?t???];внутренний дворик
2896;sleeve;[sli?v];рукав
2897;crimson;[?kr?mzn];малиновый, багряный
2898;gloom;[glu?m];сумрак, уныние
;gloomy;[?glu?mi];мрачный
2899;detain;[d??te?n];задерживать
;detainee;[?di?te??ni?];задержанное лицо
2900;expire;[?ks?pa??];истекать
;expiration;[??kspa???re???n];истечение
2901;withstand;[w???st?nd];выдерживать
2902;stick to;[st?ktu?];придерживаться, соблюдать
;keep to;[ki?ptu?];придерживаться
;stick with;[st?k w??];придерживаться
;keep with;[ki?p w??];придерживаться
2903;bigot;[?b?g?t];фанатик
;bigotry;[?b?g?tri];фанатизм
2904;badge;[b??];значок
2905;dilute;[da??lju?t];разбавлять, разводить
;dilution;[da??lu???n];разбавление
2906;reed;[ri?d];тростник, камыш
2907;take in;[te?k?n];понять, вникнуть
2908;terrain;[?t?re?n];местность
2909;behave;[b??he?v];вести себя
;misbehave;[?m?sb??he?v];дурно вести себя
2910;spear;[sp??];копье
2911;doughnut;[?d??n?t];пончик
2912;sparkle;[?sp??kl];сверкать, блистать, искриться
2913;choke;[???k];задыхаться,  давиться
2914;type;[ta?p];печатать, набирать текст
;typewriter;[?ta?p?ra?t?];печатная машинка
2915;refute;[r??fju?t];опровергать
;refutation;[?r?fju(?)?te???n];опровержение
2916;adore;[??d??];обожать
;adorable;[??d??r?bl];восхитительный
2917;break away;[bre?k??we?];отделяться
2918;pear;[pe?];груша
2919;beige;[be??];бежевый
2920;elk;[?lk];лось
2921;multiply;[?m?lt?pla?];умножать, размножаться
;multiplication;[?m?lt?pl??ke???n];умножение
2922;commence;[k??m?ns];начинать
;commencement;[k??m?nsm?nt];начало
2923;fleeting;[?fli?t??];мимолётный, скоротечный
2924;get off with;[g?t?fw??];отделаться чем-либо
2925;chuck;[??k];бросать (небрежно)
2926;pickle;[?p?kl];мариновать, солить
2927;bounty;[?ba?nti];вознаграждение
;bountiful;[?ba?nt?f?l];щедрый, обильный
2928;sleek;[sli?k];гладкий, лоснящийся
2929;dismay;[d?s?me?];испуг, тревога, потрясение
;dismal;[?d?zm?l];гнетущий, мрачный
2930;pat;[p?t];похлопать, потрепать
2931;go along;[g????l??];поддерживать, соглашаться
2932;whatsoever;[?w?ts????v?];совсем (не)
2933;enlist;[?n?l?st];привлечь (к делу)
;enlistment;[?n?l?stm?nt];зачисление на военную службу
2934;built-in;[?b?lt??n];встроенный
2935;get in;[g?t?n];прибывать (о транспорте)
;come in;[k?m?n];прибывать (о транспорте)
2936;chore;[???];скучная неприятная работа
2937;surveillance;[s???ve?l?ns];наблюдение
2938;concur;[k?n?k??];соглашаться
;concurrence;[k?n?k?r?ns];согласие
2939;drawer;[?dr???];выдвижной ящик
2940;deflect;[d??fl?kt];отклонять, преломлять
;deflection;[d??fl?k??n];отклонение
2941;trek;[tr?k];поход, переход
2942;saint;[se?nt];святой
2943;mash;[m??];разминать, месиво
;masher;[?m???];толкушка
2944;noble;[?n??bl];благородный
;nobility;[n???b?l?ti];знать
;nobleness;[?n??bln?s];благородство
;nobleman;[?n??blm?n];дворянин
2945;batch;[b??];партия, серия, группа
2946;earring;[????r??];серьга
2947;procedure;[pr??si???];процедура
2948;candid;[?k?nd?d];честный, беспристрастный
2949;straw;[str??];солома
2950;parlor;[?p??l?];приёмная, салон
2951;frail;[fre?l];хилый
2952;rouse;[ra?z];будить
2953;glide;[gla?d];скользить, планировать
2954;reckless;[?r?kl?s];опрометчивый, безрассудный
;recklessness;[?r?kl?sn?s];безрассудство
2955;pope;[p??p];папа римский
;papal;[?pe?p?l];папский
2956;incline;[?n?kla?n];наклонять, склонять (втч. перен)
;inclined;[?n?kla?nd];наклонный
;inclination;[??nkl??ne???n];наклонение
;disinclined;[?d?s?n?kla?nd];несклонный, нерасположенный
2957;checkup;[???k??p];медосмотр
2958;crust;[kr?st];кора, корка
;crusty;[?kr?sti];покрытый коркой
2959;pee;[pi?];писать
2960;insulate;[??nsj?le?t];изолировать, оградить
;insulation;[??nsj??le???n];изоляция
2961;lurch;[l???];крениться, шататься
2962;jump in;[??mp?n];вмешаться
2963;bring up;[br???p];воспитывать
2964;lamb;[l?m];ягненок
2965;laden;[?le?dn];груженный
2966;tick;[t?k];галочка, поставить галочку
2967;airborne;[?e?b??n];находящийся в воздухе
2968;beard;[b??d];борода
;beardless;[?b??dl?s];безбородый
2969;huddle;[?h?dl];столпиться, скучиться
2970;equation;[??kwe???n];уравнение
2971;fancy;[?f?nsi];необычный, причудливый, модный
2972;strangle;[?str??gl];придушить
;strangulation;[?str??gj??le???n];удушение
;stranglehold;[?str??glh??ld];удушение, мёртвая хватка
2973;blur;[bl??];размывать, смазывать
;blurry;[?bl??ri];размытый
2974;mostly;[?m??stli];в основном
2975;ache;[e?k];боль, болеть
;headache;[?h?de?k];головная боль
;toothache;[?tu??e?k];зубная боль
2976;raspberry;[?r??zb?ri];малина
2977;squeak;[skwi?k];пищать, скрипеть
;squeaky;[?skwi?ki];скрипучий
2978;grate;[gre?t];решётка
;grating;[?gre?t??];решётка
2979;suite;[swi?t];апартаменты, номер люкс
2980;niece;[ni?s];племянница
2981;intimidate;[?n?t?m?de?t];запугивать
;intimidation;[?n?t?m??de???n];устрашение
2982;call on;[k??l?n];обратиться, попросить
2983;weep;[wi?p];рыдать
2984;creak;[kri?k];скрипеть
;creaky;[?kri?ki];скрипучий
2985;tuck;[t?k];подоткнуть, заправить и т. д.
2986;get down;[g?tda?n];приступить
2987;check out;[??ka?t];посмотреть, заценить
2988;daze;[de?z];ошеломить
2989;witch;[w??];ведьма
;witchcraft;[?w??kr??ft];колдовство
2990;scent;[s?nt];аромат или нюх
;scented;[?s?nt?d];душистый, ароматический
2991;extinguish;[?ks?t??gw??];погасить
2992;cab;[k?b];такси
2993;run into;[r?n??ntu?];случайно встретить
;bump into;[b?mp??ntu?];случайно встретить, столкнуться
2994;ramp;[r?mp];скат, съезд
2995;rodent;[?r??d?nt];грызун
2996;cripple;[?kr?pl];калека, калечить
2997;scramble;[?skr?mbl];драка, схватка
2998;go off;[g???f];сработать
2999;cane;[ke?n];трость
3000;nudge;[n??];подталкивать
3001;trumpet;[?tr?mp?t];труба
3002;deter;[d??t??];удерживать (от действия)
;deterrent;[d??t?r?nt];сдерживающий (фактор)
;deterrence;[d??t?r?ns];устрашение
3003;midwife;[?m?dwa?f];акушерка
3004;alike;[??la?k];подобно
3005;transcend;[tr?n?s?nd];преодолеть (пределы)
;transcendent;[tr?n?s?nd?nt];превосходящий, невероятный
3006;bun;[b?n];булочка
3007;arbitrary;[???b?tr?ri];произвольный
;arbitrariness;[???b?tr?r?n?s];произвольность
3008;digit;[?d???t];цифра
;digital;[?d???tl];цифровой
3009;wallet;[?w?l?t];бумажник
3010;chaos;[?ke??s];хаос
;chaotic;[ke???t?k];хаотичный
3011;exuberant;[?g?zju?b?r?nt];буйный, энергичный
;exuberance;[?g?zju?b?r?ns];изобилие
3012;process;[?pr??s?s];обработать
3013;shatter;[???t?];разрушить, раздробить
3014;on account of;[?n??ka?nt?v];в связи
3015;crown;[kra?n];корона, короновать
;crowned;[kra?nd];увенчанный
3016;whim;[w?m];каприз, прихоть
3017;spouse;[spa?z];супруг, супруга
3018;handcuffs;[?h?ndk?fs];наручники
3019;scrub;[skr?b];чистить, драить
3020;mutter;[?m?t?];бормотать, бурчать
3021;be back;[bi?b?k];возвращаться
3022;attic;[??t?k];чердак
3023;diligent;[?d?l???nt];усердный, старательный
;diligence;[?d?l???ns];усердие
3024;wield;[wi?ld];владеть, управляться
3025;bastard;[?b?st?d];ублюдок
3026;inward;[??nw?d];внутрь
;outward;[?a?tw?d];наружу
3027;fairy;[?fe?ri];фея
3028;industry;[??nd?stri];отрасль
3029;depth;[d?p?];глубина
3030;mute;[mju?t];беззвучный, не говорящий
;muteness;[?mju?tn?s];немота
3031;fall behind;[f??lb??ha?nd];отставать
3032;pivot;[?p?v?t];стержень, ось, точка опоры
;pivotal;[?p?v?tl];основной, опорный
3033;sore;[s??];больной, рана
3034;extinct;[?ks?t??kt];вымерший
;extinction;[?ks?t??k??n];вымирание
3035;pupil;[?pju?pl];зрачок
3036;maze;[me?z];лабиринт
3037;rattle;[?r?tl];греметь, погремушка
3038;tremble;[?tr?mbl];дрожать
3039;contingency;[k?n?t?n??nsi];непредвиденные обстоятельства
3040;strap;[str?p];ремень
3041;subsidiary;[s?b?s?di?ri];"вспомогательный,
дополнительный"
3042;point out;[p??nta?t];указать
3043;phony;[?f??ni];фальшивый
3044;account for;[??ka?ntf??];объяснить (произошедшее)
3045;fraction;[?fr?k??n];доля, часть, дробь
;fractional;[?fr?k??nl];дробный, частичный
3046;jerk;[???k];придурок
3047;back down;[b?kda?n];отступить, отказаться
3048;relentless;[r??l?ntl?s];настойчивый, непрекращающийся
;unrelenting;[??nr??l?nt??];неослабевающий
3049;sword;[s??d];меч
3050;fuzzy;[?f?zi];пушистый, ворсистый
3051;commonplace;[?k?m?nple?s];обычное дело, банальность
3052;foremost;[?f??m??st];передовой, первоочередной
;fore;[f??];передний, носовой
3053;surrender;[s??r?nd?];сдаваться, капитулировать
3054;paragraph;[?p?r?gr??f];абзац, пункт
3055;tailor;[?te?l?];портной, кроить
3056;break out;[bre?ka?t];сбежать, вырваться
;break free;[bre?kfri?];освободиться
;break loose;[bre?klu?s];освободиться
3057;incumbent;[?n?k?mb?nt];возложенный
3058;glaze;[gle?z];глазурь, глянец
3059;immense;[??m?ns];огромный
3060;strait;[stre?t];пролив
3061;rot;[r?t];гнить
3062;screenplay;[?skri?nple?];сценарий
3063;noodles;[?nu?dlz];лапша
3064;slack;[sl?k];слабина, поблажка
;slacker;[?sl?k?];бездельник
;slacken;[?sl?k?n];ослабевать
3065;embark on;[?m?b??k?n];начать (что-то серьёзное)
3066;soften;[?s?fn];смягчать
;harden;[?h??dn];затвердеть
3067;stark;[st??k];чёткий, жёсткий, острый
3068;lace;[le?s];шнурок, шнуровать
;interlace;[??nt?(?)?le?s];переплетать
3069;obstruct;[?b?str?kt];препятствовать, загромождать
;obstruction;[?b?str?k??n];препятствие, непроходимость
3070;damp;[d?mp];сырой, сырость
;dampen;[?d?mp?n];отсыреть
;dampness;[?d?mpn?s];сырость
3071;come out;[k?ma?t];выступить, заявить
3072;pork;[p??k];свинина
3073;brassiere (bra);[?br?s??];бюстгальтер
3074;frighten off;[?fra?tn?f];отпугивать
3075;bellow;[?b?l??];реветь, рёв
3076;torment;[?t??m?nt];мучение
3077;lightning;[?la?tn??];молния
3078;fidelity;[f??d?l?ti];верность
;infidelity;[??nf??d?l?ti];неверность
;infidel;[??nf?d?l];неверный
3079;bloom;[blu?m];расцвет, расцветать
3080;propel;[pr??p?l];двигать, толкать
;propeller;[pr??p?l?];пропеллер, гребной винт
